,stateCode,state,stationCode,station,district,date,rainfall
0,PLS,Perlis,6602002,Kaki Bukit,Padang Besar,2022-01-07,0.0
1,PLS,Perlis,6602002,Kaki Bukit,Padang Besar,2022-01-08,0.0
2,PLS,Perlis,6602002,Kaki Bukit,Padang Besar,2022-01-09,0.0
3,PLS,Perlis,6602002,Kaki Bukit,Padang Besar,2022-01-10,0.0
4,PLS,Perlis,6602002,Kaki Bukit,Padang Besar,2022-01-11,0.0
5,PLS,Perlis,6602002,Kaki Bukit,Padang Besar,2022-01-12,0.0
6,PLS,Perlis,6603002,Padang Besar,Padang Besar,2022-01-07,-9999.0
7,PLS,Perlis,6603002,Padang Besar,Padang Besar,2022-01-08,0.0
8,PLS,Perlis,6603002,Padang Besar,Padang Besar,2022-01-09,-9999.0
9,PLS,Perlis,6603002,Padang Besar,Padang Besar,2022-01-10,-9999.0
10,PLS,Perlis,6603002,Padang Besar,Padang Besar,2022-01-11,-9999.0
11,PLS,Perlis,6603002,Padang Besar,Padang Besar,2022-01-12,0.0
12,PLS,Perlis,6602006,Kg. Chantik,Padang Besar,2022-01-07,0.0
13,PLS,Perlis,6602006,Kg. Chantik,Padang Besar,2022-01-08,0.0
14,PLS,Perlis,6602006,Kg. Chantik,Padang Besar,2022-01-09,0.0
15,PLS,Perlis,6602006,Kg. Chantik,Padang Besar,2022-01-10,0.0
16,PLS,Perlis,6602006,Kg. Chantik,Padang Besar,2022-01-11,0.0
17,PLS,Perlis,6602006,Kg. Chantik,Padang Besar,2022-01-12,0.0
18,PLS,Perlis,6602004,Kg. Masjid,Padang Besar,2022-01-07,0.0
19,PLS,Perlis,6602004,Kg. Masjid,Padang Besar,2022-01-08,0.0
20,PLS,Perlis,6602004,Kg. Masjid,Padang Besar,2022-01-09,0.0
21,PLS,Perlis,6602004,Kg. Masjid,Padang Besar,2022-01-10,0.0
22,PLS,Perlis,6602004,Kg. Masjid,Padang Besar,2022-01-11,0.0
23,PLS,Perlis,6602004,Kg. Masjid,Padang Besar,2022-01-12,0.0
24,PLS,Perlis,6502011,Empangan Timah Tasuh,Padang Besar,2022-01-07,0.0
25,PLS,Perlis,6502011,Empangan Timah Tasuh,Padang Besar,2022-01-08,0.0
26,PLS,Perlis,6502011,Empangan Timah Tasuh,Padang Besar,2022-01-09,0.0
27,PLS,Perlis,6502011,Empangan Timah Tasuh,Padang Besar,2022-01-10,0.0
28,PLS,Perlis,6502011,Empangan Timah Tasuh,Padang Besar,2022-01-11,0.0
29,PLS,Perlis,6502011,Empangan Timah Tasuh,Padang Besar,2022-01-12,0.0
30,PLS,Perlis,6502010,Bukit Temiang,Padang Besar,2022-01-07,0.0
31,PLS,Perlis,6502010,Bukit Temiang,Padang Besar,2022-01-08,0.0
32,PLS,Perlis,6502010,Bukit Temiang,Padang Besar,2022-01-09,0.0
33,PLS,Perlis,6502010,Bukit Temiang,Padang Besar,2022-01-10,0.0
34,PLS,Perlis,6502010,Bukit Temiang,Padang Besar,2022-01-11,0.0
35,PLS,Perlis,6502010,Bukit Temiang,Padang Besar,2022-01-12,0.0
36,PLS,Perlis,6502012,Kg. Batu Bertangkup,Padang Besar,2022-01-07,0.0
37,PLS,Perlis,6502012,Kg. Batu Bertangkup,Padang Besar,2022-01-08,0.0
38,PLS,Perlis,6502012,Kg. Batu Bertangkup,Padang Besar,2022-01-09,0.0
39,PLS,Perlis,6502012,Kg. Batu Bertangkup,Padang Besar,2022-01-10,0.0
40,PLS,Perlis,6502012,Kg. Batu Bertangkup,Padang Besar,2022-01-11,0.0
41,PLS,Perlis,6502012,Kg. Batu Bertangkup,Padang Besar,2022-01-12,0.0
42,PLS,Perlis,6402011,Tok Biduk,Padang Besar,2022-01-07,0.0
43,PLS,Perlis,6402011,Tok Biduk,Padang Besar,2022-01-08,0.0
44,PLS,Perlis,6402011,Tok Biduk,Padang Besar,2022-01-09,0.0
45,PLS,Perlis,6402011,Tok Biduk,Padang Besar,2022-01-10,0.0
46,PLS,Perlis,6402011,Tok Biduk,Padang Besar,2022-01-11,0.0
47,PLS,Perlis,6402011,Tok Biduk,Padang Besar,2022-01-12,0.0
48,PLS,Perlis,6402006,Guar Nangka,Padang Besar,2022-01-07,0.0
49,PLS,Perlis,6402006,Guar Nangka,Padang Besar,2022-01-08,0.0
50,PLS,Perlis,6402006,Guar Nangka,Padang Besar,2022-01-09,0.0
51,PLS,Perlis,6402006,Guar Nangka,Padang Besar,2022-01-10,0.0
52,PLS,Perlis,6402006,Guar Nangka,Padang Besar,2022-01-11,0.0
53,PLS,Perlis,6402006,Guar Nangka,Padang Besar,2022-01-12,0.0
54,PLS,Perlis,6402008,Ngolong at Perlis,Arau,2022-01-07,0.0
55,PLS,Perlis,6402008,Ngolong at Perlis,Arau,2022-01-08,-9999.0
56,PLS,Perlis,6402008,Ngolong at Perlis,Arau,2022-01-09,-9999.0
57,PLS,Perlis,6402008,Ngolong at Perlis,Arau,2022-01-10,0.0
58,PLS,Perlis,6402008,Ngolong at Perlis,Arau,2022-01-11,0.0
59,PLS,Perlis,6402008,Ngolong at Perlis,Arau,2022-01-12,0.0
60,PLS,Perlis,6402009,Kg. Kuala Tunggang,Arau,2022-01-07,0.0
61,PLS,Perlis,6402009,Kg. Kuala Tunggang,Arau,2022-01-08,0.0
62,PLS,Perlis,6402009,Kg. Kuala Tunggang,Arau,2022-01-09,0.0
63,PLS,Perlis,6402009,Kg. Kuala Tunggang,Arau,2022-01-10,0.0
64,PLS,Perlis,6402009,Kg. Kuala Tunggang,Arau,2022-01-11,0.0
65,PLS,Perlis,6402009,Kg. Kuala Tunggang,Arau,2022-01-12,0.0
66,PLS,Perlis,6403001,Ulu Pauh,Arau,2022-01-07,0.0
